,FIPS,State,County,total_votes,GOP,DEM,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Unemployed
361,48105,TX,Crockett,1573,1219,344,166,7,3836,1903,1933,2536,1266,35,0,0,0,2618,52310,802,1527,1013,652,733,940,499,3069,633,0,0,0,134,22.3,1733,2566,737,529,0,2.4,9206
362,48473,TX,Waller,22617,14206,8130,1012,17,48443,24209,24234,14242,20830,12062,48,339,0,32066,53506,8720,12159,12837,10415,12111,6782,6298,38125,5232,436,1889,678,2131,30,21837,36623,7702,3827,291,7.8,377855
363,18013,IN,Brown,8886,5725,2996,160,3,15007,7439,7568,240,14392,75,0,105,0,12173,59292,1591,1516,4997,2281,3677,1726,2311,12846,1261,30,165,30,675,33.3,6754,12126,1321,1486,75,5.9,88541
364,39089,OH,Licking,91830,57965,32324,3064,67,170678,83575,87103,2902,155658,5974,171,1707,0,129195,59747,20140,30893,61615,28162,41987,15532,23554,142687,13825,512,4438,2048,7168,25.8,83030,138932,22359,9387,171,5.9,1007000
365,37015,NC,Bertie,9676,3778,5846,737,20,19913,10057,9856,418,6830,12266,119,119,0,16080,31287,4381,6989,4719,3186,3704,2529,5775,16070,2310,139,398,378,617,24.8,7307,14736,4082,1055,40,12.7,252895
366,47147,TN,Robertson,33712,24535,8690,2712,43,68575,33839,34736,4389,57603,4869,274,343,69,49595,57424,7749,11383,21738,10698,15909,9120,11178,56986,6240,274,754,1372,2880,29.3,32726,54311,9326,4732,137,6.9,473168
367,35039,NM,Rio Arriba,16511,5390,10896,543,15,39455,19338,20117,28171,5090,158,5524,158,0,29026,33422,10416,13099,14756,10022,8562,3314,2762,33576,2999,513,355,473,1539,27.2,13786,22134,14756,2565,39,8.9,351150
368,8117,CO,Summit,18330,5275,12535,778,4,29722,16218,13504,4161,24342,267,89,119,59,23166,73538,3061,4547,8263,8679,6658,3537,2586,21519,1129,1991,2110,535,2407,16.4,19358,24610,3032,2081,0,3.3,98083
369,36001,NY,Albany,121529,45570,73189,3750,140,308580,149287,159293,17589,225263,36104,309,19749,0,238354,62293,38264,46287,137935,53384,77454,16972,23144,237607,23144,18206,14195,4937,10800,20.4,158961,220018,75602,12960,309,5.3,1635474
370,48055,TX,Caldwell,14775,7975,6536,1726,37,40544,20563,19981,20556,16664,2473,81,405,41,28283,51346,7176,9285,10258,8190,9528,7055,5555,32030,4703,81,1460,689,1622,30.6,18238,30124,7663,2716,41,3.4,137850
371,31165,NE,Sioux,729,642,72,12,0,1256,647,609,48,1130,5,3,3,0,998,45375,156,235,698,103,207,181,67,697,123,0,196,10,230,18.9,660,775,236,245,0,0,0
372,13183,GA,Long,5656,3528,2033,279,4,17857,8746,9111,2036,10446,4268,36,161,36,11891,53083,3571,4929,5179,3321,3804,2339,3232,14107,2464,18,143,857,250,30.2,5999,11607,4893,1339,0,17.2,307140
373,13099,GA,Early,5187,2722,2437,558,35,10405,4817,5588,229,4797,5255,10,83,0,7694,29493,2861,4401,3111,1290,2029,2050,1935,9240,739,10,135,250,31,25.2,3682,7159,2591,656,0,8.7,90524
374,40079,OK,Le Flore,18805,15213,3299,1749,24,49860,25028,24832,3390,35849,1147,5036,199,50,36569,39253,11069,14808,12964,9673,10371,8027,8825,42730,4637,50,748,548,1147,24.2,18689,37046,9424,3191,199,6.9,344034
375,48419,TX,Shelby,10063,7962,2058,554,31,25689,12740,12949,4573,15953,4830,51,128,26,17069,38121,5934,9505,6885,4085,4573,5600,4521,19678,4521,128,437,231,719,26.3,9432,19241,4033,2338,77,7.4,190099
376,17125,IL,Mason,6756,4645,1984,361,7,13904,6948,6956,139,13445,83,14,28,0,10973,44695,1933,2975,3949,2433,3156,1821,2531,11401,1432,14,528,181,362,26.9,6173,10595,2266,1043,0,8,111232
377,46077,SD,Kingsbury,2779,1904,819,221,2,5000,2527,2473,105,4755,0,25,80,0,3898,58794,475,540,1940,630,860,760,810,3690,455,10,250,25,570,20.6,2662,3455,660,855,30,1.8,9000
378,49055,UT,Wayne,1596,1207,362,0,0,2700,1403,1297,146,2479,3,5,24,30,1898,42444,248,248,810,578,562,456,294,2049,332,0,151,16,154,16.3,1215,1898,516,275,11,1.9,5130
379,29043,MO,Christian,46904,34904,11126,2463,16,83028,40265,42763,2325,77797,498,249,415,83,60880,55761,8635,11209,29807,13949,22335,7971,9050,70325,7057,83,664,1162,3736,25.4,39399,68913,8801,5231,83,5.3,440048
